
Discussion :

{Enter your intriguing discussion (explaining observations/results) here}



----------Evaluation START----------

### Evaluating AM model: 1k ### 

BLEU scores with N-gram (n) = 1: 	0.4483	0.3333	0.4138	0.2593	0.6667	0.4706	0.3333	0.4444	0.3333	0.2632	0.3846	0.4545	0.3636	0.4483	0.3125	0.3846	0.3913	0.3421	0.4583	0.4500	0.5556	0.4783	0.4375	0.4194	0.4000
BLEU scores with N-gram (n) = 2: 	0.1822	0.0000	0.1751	0.0000	0.2309	0.1771	0.0000	0.2357	0.0000	0.0000	0.1266	0.2132	0.0000	0.2881	0.1443	0.1790	0.0000	0.1688	0.1443	0.2236	0.2635	0.2614	0.2415	0.2405	0.1754
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1492	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000


### Evaluating AM model: 10k ### 

BLEU scores with N-gram (n) = 1: 	0.3793	0.3333	0.4138	0.5556	0.7407	0.4706	0.3750	0.5556	0.3333	0.5263	0.4615	0.5455	0.4545	0.5172	0.4062	0.3846	0.3913	0.4474	0.2917	0.5000	0.6667	0.6522	0.4062	0.5484	0.4000
BLEU scores with N-gram (n) = 2: 	0.0000	0.0000	0.1751	0.2981	0.3443	0.1771	0.0000	0.3727	0.0000	0.1760	0.1387	0.2335	0.0000	0.3095	0.2016	0.2193	0.0000	0.2731	0.0000	0.2887	0.4082	0.4663	0.2327	0.3075	0.1754
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.1977	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1565	0.0000	0.0000	0.0000	0.1299	0.0000	0.0000	0.2877	0.3250	0.0000	0.1519	0.0000


### Evaluating AM model: 15k ### 

BLEU scores with N-gram (n) = 1: 	0.3793	0.3333	0.4138	0.4815	0.7407	0.4706	0.3750	0.4444	0.3333	0.4737	0.4615	0.4545	0.4545	0.4483	0.4062	0.4615	0.3913	0.4474	0.2917	0.4500	0.6667	0.5652	0.4062	0.4194	0.4000
BLEU scores with N-gram (n) = 2: 	0.0000	0.0000	0.1751	0.0000	0.3443	0.1771	0.0000	0.2357	0.0000	0.2891	0.1387	0.2132	0.0000	0.2881	0.2016	0.2774	0.0000	0.2731	0.0000	0.2236	0.4082	0.3668	0.2327	0.2083	0.1754
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.2176	0.0000	0.0000	0.0000	0.0000	0.1773	0.0000	0.0000	0.0000	0.1492	0.0000	0.0000	0.0000	0.1299	0.0000	0.0000	0.2877	0.1920	0.0000	0.1171	0.0000


### Evaluating AM model: 30k ### 

BLEU scores with N-gram (n) = 1: 	0.3793	0.3333	0.4828	0.4815	0.7407	0.4706	0.4167	0.5556	0.3333	0.3684	0.4615	0.5455	0.4545	0.5172	0.3750	0.4615	0.3913	0.4737	0.2917	0.5000	0.6667	0.5652	0.4062	0.4839	0.4000
BLEU scores with N-gram (n) = 2: 	0.0000	0.0000	0.1891	0.0000	0.3443	0.1771	0.0000	0.3727	0.0000	0.1472	0.1387	0.2335	0.0000	0.3095	0.1936	0.2774	0.0000	0.2810	0.0000	0.2887	0.4082	0.3668	0.2327	0.2237	0.1754
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.2176	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1565	0.0000	0.0000	0.0000	0.1324	0.0000	0.0000	0.2877	0.1920	0.0000	0.1228	0.0000

----------Evaluation END----------
